"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","MEN","YR","A","1960",67.9,
"AUS","LIFEEXP","MEN","YR","A","1961",68,
"AUS","LIFEEXP","MEN","YR","A","1962",67.8,
"AUS","LIFEEXP","MEN","YR","A","1963",67.9,
"AUS","LIFEEXP","MEN","YR","A","1964",67.5,
"AUS","LIFEEXP","MEN","YR","A","1965",67.7,
"AUS","LIFEEXP","MEN","YR","A","1966",67.6,
"AUS","LIFEEXP","MEN","YR","A","1967",67.8,
"AUS","LIFEEXP","MEN","YR","A","1968",67.5,
"AUS","LIFEEXP","MEN","YR","A","1969",67.5,
"AUS","LIFEEXP","MEN","YR","A","1970",67.4,
"AUS","LIFEEXP","MEN","YR","A","1971",68.3,
"AUS","LIFEEXP","MEN","YR","A","1972",68.6,
"AUS","LIFEEXP","MEN","YR","A","1973",68.6,
"AUS","LIFEEXP","MEN","YR","A","1974",68.4,
"AUS","LIFEEXP","MEN","YR","A","1975",69.2,
"AUS","LIFEEXP","MEN","YR","A","1976",69.3,
"AUS","LIFEEXP","MEN","YR","A","1977",69.9,
"AUS","LIFEEXP","MEN","YR","A","1978",70.2,
"AUS","LIFEEXP","MEN","YR","A","1979",70.8,
"AUS","LIFEEXP","MEN","YR","A","1980",71,
"AUS","LIFEEXP","MEN","YR","A","1981",71.4,
"AUS","LIFEEXP","MEN","YR","A","1982",71.2,
"AUS","LIFEEXP","MEN","YR","A","1983",72.1,
"AUS","LIFEEXP","MEN","YR","A","1984",72.5,
"AUS","LIFEEXP","MEN","YR","A","1985",72.4,
"AUS","LIFEEXP","MEN","YR","A","1986",72.9,
"AUS","LIFEEXP","MEN","YR","A","1987",73.1,
"AUS","LIFEEXP","MEN","YR","A","1988",73.1,
"AUS","LIFEEXP","MEN","YR","A","1989",73.3,
"AUS","LIFEEXP","MEN","YR","A","1990",73.9,
"AUS","LIFEEXP","MEN","YR","A","1991",74.4,
"AUS","LIFEEXP","MEN","YR","A","1992",74.5,
"AUS","LIFEEXP","MEN","YR","A","1993",75,
"AUS","LIFEEXP","MEN","YR","A","1994",75,
"AUS","LIFEEXP","MEN","YR","A","1995",75,
"AUS","LIFEEXP","MEN","YR","A","1996",75.2,
"AUS","LIFEEXP","MEN","YR","A","1997",75.6,
"AUS","LIFEEXP","MEN","YR","A","1998",75.9,
"AUS","LIFEEXP","MEN","YR","A","1999",76.2,
"AUS","LIFEEXP","MEN","YR","A","2000",76.6,
"AUS","LIFEEXP","MEN","YR","A","2001",77,
"AUS","LIFEEXP","MEN","YR","A","2002",77.4,
"AUS","LIFEEXP","MEN","YR","A","2003",77.8,
"AUS","LIFEEXP","MEN","YR","A","2004",78.1,
"AUS","LIFEEXP","MEN","YR","A","2005",78.5,
"AUS","LIFEEXP","MEN","YR","A","2006",78.7,
"AUS","LIFEEXP","MEN","YR","A","2007",79,
"AUS","LIFEEXP","MEN","YR","A","2008",79.2,
"AUS","LIFEEXP","MEN","YR","A","2009",79.3,
"AUS","LIFEEXP","MEN","YR","A","2010",79.5,
"AUS","LIFEEXP","MEN","YR","A","2011",79.7,
"AUS","LIFEEXP","MEN","YR","A","2012",79.9,
"AUS","LIFEEXP","MEN","YR","A","2013",80.1,
"AUS","LIFEEXP","MEN","YR","A","2014",80.3,
"AUS","LIFEEXP","MEN","YR","A","2015",80.4,
"AUS","LIFEEXP","MEN","YR","A","2016",80.4,
"AUS","LIFEEXP","MEN","YR","A","2017",80.5,
"AUT","LIFEEXP","MEN","YR","A","1960",65.4,
"AUT","LIFEEXP","MEN","YR","A","1961",66.5,
"AUT","LIFEEXP","MEN","YR","A","1962",66.3,
"AUT","LIFEEXP","MEN","YR","A","1963",66.4,
"AUT","LIFEEXP","MEN","YR","A","1964",66.8,
"AUT","LIFEEXP","MEN","YR","A","1965",66.6,
"AUT","LIFEEXP","MEN","YR","A","1966",66.9,
"AUT","LIFEEXP","MEN","YR","A","1967",66.6,
"AUT","LIFEEXP","MEN","YR","A","1968",66.8,
"AUT","LIFEEXP","MEN","YR","A","1969",66.5,
"AUT","LIFEEXP","MEN","YR","A","1970",66.5,
"AUT","LIFEEXP","MEN","YR","A","1971",66.7,
"AUT","LIFEEXP","MEN","YR","A","1972",67,
"AUT","LIFEEXP","MEN","YR","A","1973",67.6,
"AUT","LIFEEXP","MEN","YR","A","1974",67.5,
"AUT","LIFEEXP","MEN","YR","A","1975",67.7,
"AUT","LIFEEXP","MEN","YR","A","1976",68.2,
"AUT","LIFEEXP","MEN","YR","A","1977",68.5,
"AUT","LIFEEXP","MEN","YR","A","1978",68.5,
"AUT","LIFEEXP","MEN","YR","A","1979",68.8,
"AUT","LIFEEXP","MEN","YR","A","1980",69,
"AUT","LIFEEXP","MEN","YR","A","1981",69.3,
"AUT","LIFEEXP","MEN","YR","A","1982",69.4,
"AUT","LIFEEXP","MEN","YR","A","1983",69.5,
"AUT","LIFEEXP","MEN","YR","A","1984",70.1,
"AUT","LIFEEXP","MEN","YR","A","1985",70.4,
"AUT","LIFEEXP","MEN","YR","A","1986",71,
"AUT","LIFEEXP","MEN","YR","A","1987",71.5,
"AUT","LIFEEXP","MEN","YR","A","1988",71.9,
"AUT","LIFEEXP","MEN","YR","A","1989",71.9,
"AUT","LIFEEXP","MEN","YR","A","1990",72.3,
"AUT","LIFEEXP","MEN","YR","A","1991",72.3,
"AUT","LIFEEXP","MEN","YR","A","1992",72.5,
"AUT","LIFEEXP","MEN","YR","A","1993",72.8,
"AUT","LIFEEXP","MEN","YR","A","1994",73.2,
"AUT","LIFEEXP","MEN","YR","A","1995",73.4,
"AUT","LIFEEXP","MEN","YR","A","1996",73.7,
"AUT","LIFEEXP","MEN","YR","A","1997",74.1,
"AUT","LIFEEXP","MEN","YR","A","1998",74.5,
"AUT","LIFEEXP","MEN","YR","A","1999",74.9,
"AUT","LIFEEXP","MEN","YR","A","2000",75.2,
"AUT","LIFEEXP","MEN","YR","A","2001",75.6,
"AUT","LIFEEXP","MEN","YR","A","2002",75.8,
"AUT","LIFEEXP","MEN","YR","A","2003",75.9,
"AUT","LIFEEXP","MEN","YR","A","2004",76.4,
"AUT","LIFEEXP","MEN","YR","A","2005",76.6,
"AUT","LIFEEXP","MEN","YR","A","2006",77.1,
"AUT","LIFEEXP","MEN","YR","A","2007",77.4,
"AUT","LIFEEXP","MEN","YR","A","2008",77.7,
"AUT","LIFEEXP","MEN","YR","A","2009",77.6,
"AUT","LIFEEXP","MEN","YR","A","2010",77.8,
"AUT","LIFEEXP","MEN","YR","A","2011",78.3,
"AUT","LIFEEXP","MEN","YR","A","2012",78.4,
"AUT","LIFEEXP","MEN","YR","A","2013",78.6,
"AUT","LIFEEXP","MEN","YR","A","2014",79.1,
"AUT","LIFEEXP","MEN","YR","A","2015",78.8,
"AUT","LIFEEXP","MEN","YR","A","2016",79.3,
"AUT","LIFEEXP","MEN","YR","A","2017",79.4,
"BEL","LIFEEXP","MEN","YR","A","1960",66.8,
"BEL","LIFEEXP","MEN","YR","A","1961",67.6,
"BEL","LIFEEXP","MEN","YR","A","1962",67.4,
"BEL","LIFEEXP","MEN","YR","A","1963",67.1,
"BEL","LIFEEXP","MEN","YR","A","1964",67.8,
"BEL","LIFEEXP","MEN","YR","A","1965",67.6,
"BEL","LIFEEXP","MEN","YR","A","1966",67.8,
"BEL","LIFEEXP","MEN","YR","A","1967",67.9,
"BEL","LIFEEXP","MEN","YR","A","1968",67.6,
"BEL","LIFEEXP","MEN","YR","A","1969",67.6,
"BEL","LIFEEXP","MEN","YR","A","1970",67.9,
"BEL","LIFEEXP","MEN","YR","A","1971",67.9,
"BEL","LIFEEXP","MEN","YR","A","1972",68.2,
"BEL","LIFEEXP","MEN","YR","A","1973",68.4,
"BEL","LIFEEXP","MEN","YR","A","1974",68.8,
"BEL","LIFEEXP","MEN","YR","A","1975",68.8,
"BEL","LIFEEXP","MEN","YR","A","1976",68.9,
"BEL","LIFEEXP","MEN","YR","A","1977",69.5,
"BEL","LIFEEXP","MEN","YR","A","1978",69.4,
"BEL","LIFEEXP","MEN","YR","A","1979",69.9,
"BEL","LIFEEXP","MEN","YR","A","1980",69.9,
"BEL","LIFEEXP","MEN","YR","A","1981",70.3,
"BEL","LIFEEXP","MEN","YR","A","1982",70.6,
"BEL","LIFEEXP","MEN","YR","A","1983",70.6,
"BEL","LIFEEXP","MEN","YR","A","1984",71,
"BEL","LIFEEXP","MEN","YR","A","1985",71.1,
"BEL","LIFEEXP","MEN","YR","A","1986",71.4,
"BEL","LIFEEXP","MEN","YR","A","1987",72,
"BEL","LIFEEXP","MEN","YR","A","1988",72.2,
"BEL","LIFEEXP","MEN","YR","A","1989",72.3,
"BEL","LIFEEXP","MEN","YR","A","1990",72.7,
"BEL","LIFEEXP","MEN","YR","A","1991",72.9,
"BEL","LIFEEXP","MEN","YR","A","1992",73,
"BEL","LIFEEXP","MEN","YR","A","1993",73,
"BEL","LIFEEXP","MEN","YR","A","1994",73.4,
"BEL","LIFEEXP","MEN","YR","A","1995",73.5,
"BEL","LIFEEXP","MEN","YR","A","1996",73.9,
"BEL","LIFEEXP","MEN","YR","A","1997",74.2,
"BEL","LIFEEXP","MEN","YR","A","1998",74.4,
"BEL","LIFEEXP","MEN","YR","A","1999",74.4,
"BEL","LIFEEXP","MEN","YR","A","2000",74.6,
"BEL","LIFEEXP","MEN","YR","A","2001",74.9,
"BEL","LIFEEXP","MEN","YR","A","2002",75.1,
"BEL","LIFEEXP","MEN","YR","A","2003",75.3,
"BEL","LIFEEXP","MEN","YR","A","2004",76,
"BEL","LIFEEXP","MEN","YR","A","2005",76.2,
"BEL","LIFEEXP","MEN","YR","A","2006",76.6,
"BEL","LIFEEXP","MEN","YR","A","2007",77.1,
"BEL","LIFEEXP","MEN","YR","A","2008",76.9,
"BEL","LIFEEXP","MEN","YR","A","2009",77.4,
"BEL","LIFEEXP","MEN","YR","A","2010",77.5,
"BEL","LIFEEXP","MEN","YR","A","2011",78,"B"
"BEL","LIFEEXP","MEN","YR","A","2012",77.8,
"BEL","LIFEEXP","MEN","YR","A","2013",78.1,
"BEL","LIFEEXP","MEN","YR","A","2014",78.8,
"BEL","LIFEEXP","MEN","YR","A","2015",78.7,
"BEL","LIFEEXP","MEN","YR","A","2016",79,
"BEL","LIFEEXP","MEN","YR","A","2017",79.2,
"CAN","LIFEEXP","MEN","YR","A","1961",68.4,
"CAN","LIFEEXP","MEN","YR","A","1966",68.8,
"CAN","LIFEEXP","MEN","YR","A","1971",69.3,
"CAN","LIFEEXP","MEN","YR","A","1976",70.2,
"CAN","LIFEEXP","MEN","YR","A","1979",71.4,
"CAN","LIFEEXP","MEN","YR","A","1980",71.7,
"CAN","LIFEEXP","MEN","YR","A","1981",71.9,
"CAN","LIFEEXP","MEN","YR","A","1982",72,"B"
"CAN","LIFEEXP","MEN","YR","A","1983",72.3,
"CAN","LIFEEXP","MEN","YR","A","1984",72.7,
"CAN","LIFEEXP","MEN","YR","A","1985",72.9,
"CAN","LIFEEXP","MEN","YR","A","1986",73.1,
"CAN","LIFEEXP","MEN","YR","A","1987",73.3,
"CAN","LIFEEXP","MEN","YR","A","1988",73.5,
"CAN","LIFEEXP","MEN","YR","A","1989",73.7,
"CAN","LIFEEXP","MEN","YR","A","1990",73.9,
"CAN","LIFEEXP","MEN","YR","A","1991",74.3,
"CAN","LIFEEXP","MEN","YR","A","1992",74.5,
"CAN","LIFEEXP","MEN","YR","A","1993",74.7,
"CAN","LIFEEXP","MEN","YR","A","1994",74.8,
"CAN","LIFEEXP","MEN","YR","A","1995",74.9,
"CAN","LIFEEXP","MEN","YR","A","1996",75.2,
"CAN","LIFEEXP","MEN","YR","A","1997",75.4,
"CAN","LIFEEXP","MEN","YR","A","1998",75.7,
"CAN","LIFEEXP","MEN","YR","A","1999",76,
"CAN","LIFEEXP","MEN","YR","A","2000",76.3,
"CAN","LIFEEXP","MEN","YR","A","2001",76.6,
"CAN","LIFEEXP","MEN","YR","A","2002",76.9,
"CAN","LIFEEXP","MEN","YR","A","2003",77.1,
"CAN","LIFEEXP","MEN","YR","A","2004",77.4,
"CAN","LIFEEXP","MEN","YR","A","2005",77.6,
"CAN","LIFEEXP","MEN","YR","A","2006",77.9,
"CAN","LIFEEXP","MEN","YR","A","2007",78.1,
"CAN","LIFEEXP","MEN","YR","A","2008",78.3,
"CAN","LIFEEXP","MEN","YR","A","2009",78.5,
"CAN","LIFEEXP","MEN","YR","A","2010",78.8,
"CAN","LIFEEXP","MEN","YR","A","2011",79.1,
"CAN","LIFEEXP","MEN","YR","A","2012",79.4,
"CAN","LIFEEXP","MEN","YR","A","2013",79.6,
"CAN","LIFEEXP","MEN","YR","A","2014",79.7,
"CAN","LIFEEXP","MEN","YR","A","2015",79.8,
"CAN","LIFEEXP","MEN","YR","A","2016",79.9,
"CAN","LIFEEXP","MEN","YR","A","2017",79.9,
"CZE","LIFEEXP","MEN","YR","A","1960",67.8,
"CZE","LIFEEXP","MEN","YR","A","1961",67.7,
"CZE","LIFEEXP","MEN","YR","A","1962",66.9,
"CZE","LIFEEXP","MEN","YR","A","1963",67.3,
"CZE","LIFEEXP","MEN","YR","A","1964",67.5,
"CZE","LIFEEXP","MEN","YR","A","1965",67.2,
"CZE","LIFEEXP","MEN","YR","A","1966",67.3,
"CZE","LIFEEXP","MEN","YR","A","1967",67.1,
"CZE","LIFEEXP","MEN","YR","A","1968",66.6,
"CZE","LIFEEXP","MEN","YR","A","1969",66,
"CZE","LIFEEXP","MEN","YR","A","1970",66.1,
"CZE","LIFEEXP","MEN","YR","A","1971",66.2,
"CZE","LIFEEXP","MEN","YR","A","1972",66.9,
"CZE","LIFEEXP","MEN","YR","A","1973",66.6,
"CZE","LIFEEXP","MEN","YR","A","1974",66.8,
"CZE","LIFEEXP","MEN","YR","A","1975",67,
"CZE","LIFEEXP","MEN","YR","A","1976",67.1,
"CZE","LIFEEXP","MEN","YR","A","1977",67.2,
"CZE","LIFEEXP","MEN","YR","A","1978",67.3,
